Player,PlayerID,URLs,Pos,Age,Tm,G,GS,MP,MP/G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,PER,OWS,DWS,WS,WS/48,atTwitter,twitter
Darrell Arthur,\arthuda01,http://www.basketball-reference.com/players/a/arthuda01.html,PF,28,DEN,39,7,598,15.3,2.3,5.1,0.452,1.3,2.7,0.462,1.1,2.4,0.441,0.575,0.3,0.3,0.846,0.6,2.1,2.7,1.1,0.4,0.5,0.9,1.9,6.2,12.6,0.6,0.3,0.9,0.076,@DarrellArthur00,DarrellArthur00
D.J. Augustin,\augusdj01,http://www.basketball-reference.com/players/a/augusdj01.html,PG,29,ORL,75,20,1483,19.8,2.6,6.7,0.385,1.3,3.5,0.356,1.3,3.1,0.417,0.479,1.7,2.1,0.815,0.2,1.3,1.5,2.7,0.4,0,1.1,1.3,8.1,11.6,1,0.5,1.5,0.05,NA,NA
Luke Babbitt,\babbilu01,http://www.basketball-reference.com/players/b/babbilu01.html,SF,27,MIA,68,55,1065,15.7,1.7,4.1,0.402,1.3,3.1,0.414,0.4,1,0.366,0.557,0.2,0.2,0.733,0.2,1.9,2.1,0.5,0.3,0.2,0.4,1.7,4.8,8.4,0.8,1,1.8,0.082,NA,NA
Ron Baker,\bakerro01,http://www.basketball-reference.com/players/b/bakerro01.html,SG,23,NYK,48,9,732,15.3,1.4,3.8,0.372,0.4,1.5,0.296,1,2.3,0.42,0.429,0.5,0.8,0.641,0.2,1.6,1.8,1.8,0.7,0.1,1,1.4,3.8,7.4,-0.6,0.5,-0.1,-0.007,@RonBaker31,RonBaker31
Wade Baldwin,\baldwwa01,http://www.basketball-reference.com/players/b/baldwwa01.html,PG,20,MEM,30,1,372,12.4,1,3.2,0.299,0.1,0.7,0.1,0.9,2.6,0.351,0.309,0.9,1.1,0.824,0.3,1.1,1.4,2,0.5,0.2,1.2,1.3,2.9,6.1,-0.8,0.5,-0.3,-0.043,@The_Fourth_Wade,The_Fourth_Wade
Leandro Barbosa,\barbole01,http://www.basketball-reference.com/players/b/barbole01.html,SG,34,PHO,67,0,963,14.4,2.6,5.9,0.439,0.5,1.5,0.357,2,4.4,0.466,0.483,0.6,0.7,0.889,0.2,1.3,1.6,1.2,0.5,0.1,0.7,1.2,6.3,11.5,0.3,0.4,0.6,0.031,@TheBlurBarbosa,TheBlurBarbosa
J.J. Barea,\bareajo01,http://www.basketball-reference.com/players/b/bareajo01.html,PG,32,DAL,33,5,733,22.2,4.1,9.8,0.418,1.5,4.1,0.356,2.6,5.7,0.463,0.492,1.3,1.5,0.857,0.3,2.1,2.3,5.3,0.4,0,1.8,0.9,10.9,16.8,0.7,0.4,1.2,0.077,@jjbareapr,jjbareapr
Harrison Barnes,\barneha02,http://www.basketball-reference.com/players/b/barneha02.html,PF,24,DAL,78,78,2786,35.7,7.6,16.3,0.468,1,2.8,0.348,6.7,13.5,0.493,0.498,3.1,3.6,0.864,1.2,3.9,5.1,1.5,0.8,0.2,1.3,1.6,19.4,16.4,2.5,2.2,4.7,0.081,@HBarnes,HBarnes
Matt Barnes,\barnema02,http://www.basketball-reference.com/players/b/barnema02.html,SF,36,TOT,73,18,1769,24.2,2.5,6.5,0.39,1.2,3.6,0.328,1.3,2.9,0.467,0.481,1,1.2,0.787,0.9,4.3,5.2,2.6,0.7,0.4,1.5,2.5,7.2,10.3,0.2,1.7,1.9,0.052,@Matt_Barnes22,Matt_Barnes22
Matt Barnes,\barnema02,http://www.basketball-reference.com/players/b/barnema02.html,SF,36,SAC,54,13,1367,25.3,2.7,7.1,0.384,1.3,3.9,0.327,1.4,3.2,0.453,0.474,0.9,1.2,0.758,1,4.5,5.5,2.8,0.7,0.3,1.5,2.6,7.6,10.2,-0.1,1.1,1,0.035,@Matt_Barnes22,Matt_Barnes22
Matt Barnes,\barnema02,http://www.basketball-reference.com/players/b/barnema02.html,SF,36,GSW,19,5,402,21.2,1.9,4.7,0.416,0.9,2.7,0.333,1.1,2,0.526,0.511,1.1,1.2,0.87,0.7,3.8,4.6,2.3,0.6,0.5,1.2,2.5,5.8,10.3,0.3,0.6,0.9,0.11,@Matt_Barnes22,Matt_Barnes22
Will Barton,\bartowi01,http://www.basketball-reference.com/players/b/bartowi01.html,SG,26,DEN,60,19,1705,28.4,4.9,11.1,0.442,1.5,3.9,0.37,3.5,7.2,0.481,0.507,2.4,3.2,0.753,1,3.4,4.3,3.4,0.8,0.5,1.6,1.8,13.7,15.5,2.5,0.7,3.2,0.09,@WillTheThrillB5,WillTheThrillB5
Brandon Bass,\bassbr01,http://www.basketball-reference.com/players/b/bassbr01.html,PF,31,LAC,50,0,556,11.1,2,3.6,0.57,0,0.1,0.333,2,3.5,0.574,0.573,1.4,1.6,0.875,0.8,1.7,2.5,0.4,0.3,0.2,0.6,0.9,5.5,18.9,1.4,0.6,2,0.172,@bestbetbass,bestbetbass
Nicolas Batum,\batumni01,http://www.basketball-reference.com/players/b/batumni01.html,SG,28,CHO,74,74,2537,34.3,5.1,12.6,0.403,1.8,5.3,0.331,3.3,7.3,0.455,0.472,3.2,3.7,0.865,0.6,5.7,6.3,5.9,1.1,0.4,2.6,1.5,15.2,15.7,1.7,2.8,4.5,0.085,@nicolas88batum,nicolas88batum
Jerryd Bayless,\bayleje01,http://www.basketball-reference.com/players/b/bayleje01.html,PG,28,PHI,3,1,71,23.7,3.7,10.7,0.344,0.7,1.7,0.4,3,9,0.333,0.375,3,3.3,0.9,1,3,4,4.3,0,0,3,1.3,11,8.7,-0.1,0,-0.1,-0.067,@jerrydbayless,jerrydbayless
Aron Baynes,\baynear01,http://www.basketball-reference.com/players/b/baynear01.html,C,30,DET,75,2,1163,15.5,1.9,3.7,0.513,0,0,NA,1.9,3.7,0.513,0.513,1.1,1.3,0.84,1.5,3,4.4,0.4,0.2,0.5,0.7,2.2,4.9,13.1,1.4,1.5,3,0.123,@aronbaynes,aronbaynes
Kent Bazemore,\bazemke01,http://www.basketball-reference.com/players/b/bazemke01.html,SF,27,ATL,70,64,1896,27.1,4.1,10,0.406,1.3,3.7,0.344,2.8,6.3,0.441,0.469,1.6,2.3,0.704,0.6,2.6,3.2,2.4,1.2,0.7,1.7,2.2,11,11.3,-0.7,2.6,1.9,0.047,@24Bazemore,24Bazemore
Bradley Beal,\bealbr01,http://www.basketball-reference.com/players/b/bealbr01.html,SG,23,WAS,74,74,2577,34.8,8.3,17.2,0.481,2.9,7.2,0.406,5.4,10,0.534,0.565,3.6,4.4,0.817,0.7,2.4,3.1,3.5,1.1,0.2,2,2.2,23,20,6.5,1.5,8.1,0.151,@RealDealBeal23,RealDealBeal23
Malik Beasley,\beaslma01,http://www.basketball-reference.com/players/b/beaslma01.html,SG,20,DEN,19,0,90,4.7,1,2.3,0.432,0.3,0.9,0.353,0.7,1.4,0.481,0.5,0.3,0.4,0.75,0.1,0.4,0.5,0.3,0.2,0,0.3,0.3,2.6,13.8,0,0,0.1,0.042,@Mbeasy5,Mbeasy5
Michael Beasley,\beaslmi01,http://www.basketball-reference.com/players/b/beaslmi01.html,PF,28,MIL,53,5,881,16.6,3.9,7.2,0.546,0.3,0.7,0.421,3.6,6.4,0.56,0.567,1.5,2,0.74,0.7,2.8,3.5,1,0.5,0.5,1.2,1.7,9.6,18.4,0.9,0.9,1.8,0.101,@easyst0,easyst0
Marco Belinelli,\belinma01,http://www.basketball-reference.com/players/b/belinma01.html,SG,30,CHO,74,0,1778,24,3.6,8.3,0.429,1.4,3.8,0.362,2.2,4.5,0.486,0.512,2,2.3,0.893,0.2,2.2,2.4,2,0.6,0.1,0.9,1.2,10.5,13.3,2,1.3,3.3,0.089,@marcobelinelli,marcobelinelli
DeAndre' Bembry,\bembrde01,http://www.basketball-reference.com/players/b/bembrde01.html,SF,22,ATL,34,0,315,9.3,1.2,2.6,0.46,0,0.4,0,1.2,2.1,0.556,0.46,0.2,0.5,0.375,0.4,1,1.4,0.7,0.2,0.1,0.3,0.5,2.5,8.5,-0.1,0.3,0.2,0.031,@fearthefro95,fearthefro95
Dragan Bender,\bendedr01,http://www.basketball-reference.com/players/b/bendedr01.html,PF,19,PHO,40,0,507,12.7,1.3,3.4,0.368,0.7,2.2,0.314,0.6,1.3,0.46,0.467,0.1,0.3,0.3,0.5,1.8,2.3,0.4,0.2,0.5,0.7,1.6,3.3,5.7,-0.5,0.3,-0.2,-0.02,@DBender03,DBender03
Anthony Bennett,\bennean01,http://www.basketball-reference.com/players/b/bennean01.html,PF,23,BRK,23,1,264,11.5,1.7,4,0.413,0.6,2.1,0.271,1.1,1.9,0.568,0.484,1.1,1.6,0.722,1.1,2.3,3.4,0.5,0.2,0.1,0.5,0.8,5,14.7,0.3,0.2,0.5,0.091,@AnthonyBennett,AnthonyBennett
Ben Bentil,\bentibe01,http://www.basketball-reference.com/players/b/bentibe01.html,PF,21,DAL,3,0,10,3.3,0,1,0,0,0.3,0,0,0.7,0,0,0,0,NA,0,0.7,0.7,0,0,0,0.3,0.3,0,-17.6,-0.1,0,-0.1,-0.473,NA,NA
Davis Bertans,\bertada01,http://www.basketball-reference.com/players/b/bertada01.html,PF,24,SAS,63,5,742,11.8,1.5,3.3,0.441,1,2.5,0.4,0.5,0.9,0.554,0.588,0.4,0.5,0.818,0.3,1.2,1.4,0.7,0.3,0.4,0.5,1.1,4.4,12.6,1,1.1,2.1,0.133,@DBertans_42,DBertans_42
Patrick Beverley,\beverpa01,http://www.basketball-reference.com/players/b/beverpa01.html,SG,28,HOU,64,64,1967,30.7,3.4,8.2,0.418,1.7,4.3,0.383,1.8,3.9,0.458,0.519,1.1,1.3,0.81,1.4,4.4,5.8,4.1,1.5,0.4,1.5,3.3,9.6,12.9,2.7,2.4,5,0.123,@patbev21,patbev21
Bismack Biyombo,\biyombi01,http://www.basketball-reference.com/players/b/biyombi01.html,C,24,ORL,77,27,1745,22.7,2.2,4.3,0.523,0,0,NA,2.2,4.3,0.523,0.523,1.5,2.9,0.529,2,5.2,7.2,0.9,0.3,1.1,1.2,2.5,6,12,0.7,2,2.7,0.075,@bismackbiyombo,bismackbiyombo
Nemanja Bjelica,\bjeline01,http://www.basketball-reference.com/players/b/bjeline01.html,PF,28,MIN,65,1,1190,18.3,2.3,5.5,0.424,0.9,2.7,0.316,1.5,2.8,0.531,0.503,0.7,0.9,0.738,0.9,2.9,3.8,1.2,0.6,0.3,0.9,2.4,6.2,11,0.6,0.9,1.5,0.061,@Bjelica88,Bjelica88
Tarik Black,\blackta01,http://www.basketball-reference.com/players/b/blackta01.html,C,25,LAL,63,16,1019,16.2,2.2,4.3,0.513,0,0,0.5,2.2,4.3,0.513,0.515,1.2,1.7,0.74,2.2,2.9,5.1,0.6,0.4,0.6,0.9,2.6,5.7,14.8,1.4,0.7,2.1,0.099,NA,NA
Eric Bledsoe,\bledser01,http://www.basketball-reference.com/players/b/bledser01.html,PG,27,PHO,66,66,2176,33,6.8,15.7,0.434,1.6,4.7,0.335,5.2,11,0.477,0.485,5.9,6.9,0.847,0.8,4.1,4.8,6.3,1.4,0.5,3.4,2.5,21.1,20.5,4,1.4,5.4,0.119,@EBled2,EBled2
Bojan Bogdanovic,\bogdabo02,http://www.basketball-reference.com/players/b/bogdabo02.html,SF,27,TOT,77,54,1989,25.8,4.7,10.6,0.448,1.8,4.9,0.368,2.9,5.7,0.518,0.534,2.7,3.1,0.89,0.5,3,3.5,1.4,0.4,0.1,1.6,1.8,14,13.9,2,0.9,2.9,0.071,@44Bojan,44Bojan
Bojan Bogdanovic,\bogdabo02,http://www.basketball-reference.com/players/b/bogdabo02.html,SF,27,BRK,55,54,1482,26.9,4.9,11.1,0.44,1.8,5,0.357,3.1,6.1,0.509,0.521,2.7,3,0.874,0.4,3.2,3.6,1.6,0.4,0.1,1.7,1.8,14.2,13.1,1.1,0.6,1.7,0.054,@44Bojan,44Bojan
Bojan Bogdanovic,\bogdabo02,http://www.basketball-reference.com/players/b/bogdabo02.html,SF,27,WAS,22,0,507,23,4.4,9.2,0.473,1.8,4.6,0.396,2.5,4.6,0.549,0.571,3,3.2,0.929,0.6,2.5,3.1,0.8,0.5,0.2,1.6,1.8,13.5,16.3,1,0.3,1.3,0.119,@44Bojan,44Bojan
Andrew Bogut,\bogutan01,http://www.basketball-reference.com/players/b/bogutan01.html,C,32,TOT,27,21,583,21.6,1.4,3,0.469,0,0,0,1.4,3,0.475,0.469,0.1,0.4,0.273,2.1,6,8.1,1.8,0.5,0.9,1.6,3.2,2.9,9.3,-0.3,1,0.7,0.056,@andrewbogut,andrewbogut
Andrew Bogut,\bogutan01,http://www.basketball-reference.com/players/b/bogutan01.html,C,32,DAL,26,21,582,22.4,1.5,3.1,0.469,0,0,0,1.5,3.1,0.475,0.469,0.1,0.4,0.273,2.2,6.2,8.4,1.9,0.5,1,1.7,3.2,3,9.4,-0.3,1,0.7,0.056,@andrewbogut,andrewbogut
Andrew Bogut,\bogutan01,http://www.basketball-reference.com/players/b/bogutan01.html,C,32,CLE,1,0,1,1,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,2,0,-35.3,0,0,0,0.02,@andrewbogut,andrewbogut
Joel Bolomboy,\bolomjo01,http://www.basketball-reference.com/players/b/bolomjo01.html,PF,23,UTA,11,0,38,3.5,0.7,1.2,0.615,0.1,0.3,0.333,0.6,0.9,0.7,0.654,0.3,0.5,0.5,0.1,0.9,1,0.2,0.1,0.1,0.2,0.1,1.8,21.9,0.1,0.1,0.1,0.185,@Bolomboy21,Bolomboy21
Devin Booker,\bookede01,http://www.basketball-reference.com/players/b/bookede01.html,SG,20,PHO,76,76,2670,35.1,7.7,18.3,0.422,1.9,5.2,0.36,5.8,13.1,0.446,0.473,4.7,5.6,0.834,0.6,2.6,3.2,3.4,0.9,0.3,3.1,3.1,21.9,14.3,1.1,0.7,1.8,0.032,@DevinBook,DevinBook
Trevor Booker,\booketr01,http://www.basketball-reference.com/players/b/booketr01.html,PF,29,BRK,70,43,1732,24.7,4.3,8.3,0.518,0.4,1.1,0.321,3.9,7.2,0.549,0.54,1,1.6,0.67,2,6.1,8.1,2,1.1,0.4,1.8,2.2,10,15.8,1,2.2,3.2,0.089,@35_Fitz,35_Fitz
Avery Bradley,\bradlav01,http://www.basketball-reference.com/players/b/bradlav01.html,SG,26,BOS,51,51,1702,33.4,6.6,14.2,0.465,2,5,0.398,4.6,9.2,0.501,0.535,1.2,1.7,0.724,1.2,5,6.2,2.2,1.3,0.2,1.7,2.5,16.4,14.6,0.9,1.9,2.8,0.08,NA,NA
Corey Brewer,\breweco01,http://www.basketball-reference.com/players/b/breweco01.html,SF,30,TOT,78,11,1202,15.4,1.8,4.2,0.422,0.3,1.5,0.235,1.4,2.7,0.524,0.463,0.6,0.8,0.734,0.4,1.6,2,1.1,0.7,0.2,0.6,1.6,4.5,8.9,0.1,1.1,1.2,0.048,@TheCoreyBrewer,TheCoreyBrewer
Corey Brewer,\breweco01,http://www.basketball-reference.com/players/b/breweco01.html,SF,30,HOU,58,8,923,15.9,1.6,3.9,0.414,0.4,1.6,0.234,1.2,2.3,0.541,0.463,0.6,0.8,0.727,0.4,1.6,2,1.1,0.6,0.2,0.6,1.8,4.2,7.5,0,0.9,0.9,0.048,@TheCoreyBrewer,TheCoreyBrewer
Corey Brewer,\breweco01,http://www.basketball-reference.com/players/b/breweco01.html,SF,30,LAL,20,3,279,14,2.2,4.9,0.439,0.3,1.1,0.238,1.9,3.9,0.494,0.464,0.8,1,0.75,0.5,1.7,2.2,1.3,0.8,0.4,0.7,1.1,5.3,13.6,0.1,0.2,0.3,0.05,@TheCoreyBrewer,TheCoreyBrewer
Malcolm Brogdon,\brogdma01,http://www.basketball-reference.com/players/b/brogdma01.html,SG,24,MIL,73,26,1934,26.5,3.9,8.5,0.457,1,2.6,0.404,2.8,5.9,0.48,0.519,1.5,1.7,0.865,0.6,2.2,2.8,4.3,1.1,0.2,1.5,1.9,10.3,14.9,2.6,1.4,4,0.1,NA,NA
Aaron Brooks,\brookaa01,http://www.basketball-reference.com/players/b/brookaa01.html,PG,32,IND,61,0,829,13.6,1.9,4.7,0.398,0.7,2,0.361,1.2,2.7,0.425,0.474,0.5,0.6,0.789,0.3,0.8,1.1,1.9,0.4,0.1,1,1.4,5,9.6,-0.3,0.5,0.2,0.01,@Thirty2zero,Thirty2zero
Anthony Brown,\brownan02,http://www.basketball-reference.com/players/b/brownan02.html,SF,24,TOT,11,0,159,14.5,1.6,4.5,0.36,0.6,2.5,0.259,1,2.1,0.478,0.43,0,0,NA,0.7,2.3,3,0.7,0.5,0.1,0.5,1.4,3.9,7.2,-0.2,0.2,0,0.003,@TwoShotOne,TwoShotOne
Anthony Brown,\brownan02,http://www.basketball-reference.com/players/b/brownan02.html,SF,24,NOP,9,0,143,15.9,1.6,4.6,0.341,0.7,2.7,0.25,0.9,1.9,0.471,0.415,0,0,NA,0.7,2.2,2.9,0.7,0.6,0.1,0.6,1.4,3.8,5.9,-0.2,0.2,0,-0.005,@TwoShotOne,TwoShotOne
Anthony Brown,\brownan02,http://www.basketball-reference.com/players/b/brownan02.html,SF,24,ORL,2,0,16,8,2,4.5,0.444,0.5,1.5,0.333,1.5,3,0.5,0.5,0,0,NA,1,2.5,3.5,1,0,0,0.5,1,4.5,18.5,0,0,0,0.078,@TwoShotOne,TwoShotOne
Bobby Brown,\brownbo02,http://www.basketball-reference.com/players/b/brownbo02.html,PG,32,HOU,22,0,65,3,0.5,1.6,0.333,0.3,0.9,0.35,0.2,0.7,0.313,0.431,0,0,NA,0,0.2,0.2,0.1,0,0,0.1,0.1,1.4,4.4,-0.1,0,-0.1,-0.086,@BBROWNLAU,BBROWNLAU
Jaylen Brown,\brownja02,http://www.basketball-reference.com/players/b/brownja02.html,SF,20,BOS,74,20,1267,17.1,2.4,5.4,0.455,0.6,1.7,0.336,1.9,3.7,0.509,0.508,1.1,1.6,0.686,0.6,2.3,2.9,0.8,0.4,0.2,0.9,1.9,6.6,10.3,0.3,1.2,1.5,0.056,@FCHWPO,FCHWPO
Nicolas Brussino,\brussni01,http://www.basketball-reference.com/players/b/brussni01.html,SF,23,DAL,50,1,401,8,0.8,2.2,0.361,0.4,1.4,0.296,0.4,0.7,0.486,0.458,0.3,0.3,0.765,0.5,1.1,1.6,0.7,0.3,0.2,0.4,0.7,2.2,11.2,0,0.5,0.5,0.062,NA,NA
Reggie Bullock,\bullore01,http://www.basketball-reference.com/players/b/bullore01.html,SF,25,DET,27,4,371,13.7,1.4,3.7,0.374,0.5,1.9,0.269,0.9,1.7,0.489,0.444,0.2,0.3,0.714,0.4,1.5,1.9,0.7,0.5,0.1,0.4,0.7,3.4,8.2,-0.1,0.4,0.3,0.04,@ReggieBullock35,ReggieBullock35
Trey Burke,\burketr01,http://www.basketball-reference.com/players/b/burketr01.html,PG,24,WAS,55,0,665,12.1,1.9,4.4,0.44,0.5,1.1,0.413,1.5,3.2,0.449,0.494,0.4,0.5,0.741,0.1,0.7,0.8,1.7,0.2,0.1,0.8,1,4.7,9.9,0.1,0.2,0.3,0.022,@TreyBurke,TreyBurke
Alec Burks,\burksal01,http://www.basketball-reference.com/players/b/burksal01.html,SG,25,UTA,39,0,619,15.9,2.5,6.1,0.403,0.6,1.9,0.324,1.8,4.2,0.439,0.454,1.5,1.9,0.773,0.4,2.4,2.8,0.7,0.5,0.1,0.9,1.3,7,11.8,-0.1,0.9,0.8,0.06,@AlecBurks10,AlecBurks10
Jimmy Butler,\butleji01,http://www.basketball-reference.com/players/b/butleji01.html,SF,27,CHI,72,71,2668,37.1,7.5,16.5,0.455,1.2,3.3,0.357,6.3,13.2,0.479,0.49,7.7,9,0.861,1.7,4.4,6.1,5.5,1.9,0.4,2,1.5,23.9,25.2,9.6,3.2,12.8,0.231,@JimmyButler,JimmyButler
Bruno Caboclo,\cabocbr01,http://www.basketball-reference.com/players/c/cabocbr01.html,SF,21,TOR,8,0,23,2.9,0.1,0.6,0.2,0.1,0.4,0.333,0,0.3,0,0.3,0,0,NA,0.4,0.4,0.8,0.4,0.3,0,0.3,0.4,0.4,7.9,0,0,0,0.009,@Bruno_Caboclo,Bruno_Caboclo
Jose Calderon,\caldejo01,http://www.basketball-reference.com/players/c/caldejo01.html,PG,35,TOT,36,11,450,12.5,1.2,3,0.385,0.4,1.4,0.288,0.8,1.6,0.474,0.454,0.3,0.3,0.917,0.4,1.4,1.7,1.9,0.3,0,1,0.9,3.1,7.9,-0.2,0.2,0,0.002,@JmCalderon,JmCalderon
Jose Calderon,\caldejo01,http://www.basketball-reference.com/players/c/caldejo01.html,PG,35,LAL,24,11,292,12.2,1.3,3.2,0.416,0.5,1.4,0.353,0.8,1.8,0.465,0.494,0.2,0.2,1,0.3,1.4,1.7,2.1,0.3,0,1.1,0.9,3.3,9.1,-0.1,0.1,0,-0.003,@JmCalderon,JmCalderon
Jose Calderon,\caldejo01,http://www.basketball-reference.com/players/c/caldejo01.html,PG,35,ATL,12,0,158,13.2,0.8,2.7,0.313,0.3,1.5,0.167,0.6,1.2,0.5,0.359,0.6,0.7,0.875,0.4,1.3,1.8,1.5,0.3,0,0.8,0.8,2.5,5.7,-0.1,0.2,0,0.011,@JmCalderon,JmCalderon
Kentavious Caldwell-Pope,\caldwke01,http://www.basketball-reference.com/players/c/caldwke01.html,SG,23,DET,73,72,2448,33.5,4.9,12.3,0.402,2,5.7,0.356,2.9,6.5,0.444,0.486,2,2.5,0.832,0.7,2.5,3.2,2.6,1.2,0.2,1.1,1.5,14,13.1,2.1,2.5,4.6,0.09,@CaldwellPope,CaldwellPope
Isaiah Canaan,\canaais01,http://www.basketball-reference.com/players/c/canaais01.html,SG,25,CHI,37,0,583,15.8,1.7,4.6,0.367,0.6,2.5,0.264,1,2.1,0.487,0.438,0.8,0.8,0.903,0.2,1.1,1.3,0.9,0.6,0,0.5,0.9,4.8,8.1,0,0.5,0.5,0.038,@SiP03,SiP03
Clint Capela,\capelca01,http://www.basketball-reference.com/players/c/capelca01.html,C,22,HOU,63,57,1498,23.8,5.4,8.6,0.632,0,0,NA,5.4,8.6,0.632,0.632,1.5,2.7,0.535,2.8,5.3,8.1,1,0.5,1.2,1.3,2.8,12.3,21,3.6,2.1,5.7,0.183,@CapelaClint,CapelaClint
DeMarre Carroll,\carrode01,http://www.basketball-reference.com/players/c/carrode01.html,SF,30,TOR,69,69,1820,26.4,3.1,7.7,0.404,1.6,4.5,0.344,1.6,3.2,0.489,0.505,1.3,1.7,0.763,0.9,2.9,3.9,1,1.1,0.4,0.8,2,9.1,12.2,1.8,2,3.8,0.1,@DeMarreCarroll1,DeMarreCarroll1
Vince Carter,\cartevi01,http://www.basketball-reference.com/players/c/cartevi01.html,SG,40,MEM,70,12,1727,24.7,2.7,6.8,0.39,1.5,4.1,0.37,1.2,2.8,0.42,0.5,1.2,1.6,0.761,0.5,2.6,3.1,1.8,0.8,0.5,0.7,2.3,8,11.5,1.7,2,3.7,0.103,@mrvincecarter15,mrvincecarter15
Michael Carter-Williams,\cartemi01,http://www.basketball-reference.com/players/c/cartemi01.html,PG,25,CHI,41,19,795,19.4,2.6,6.9,0.377,0.3,1.5,0.23,2.3,5.4,0.417,0.401,1.4,1.8,0.747,0.6,3,3.6,2.6,0.8,0.5,1.6,2.3,6.9,10.1,-0.9,1.1,0.2,0.01,@MCW1,MCW1
Omri Casspi,\casspom01,http://www.basketball-reference.com/players/c/casspom01.html,SF,28,TOT,31,2,536,17.3,2.2,4.7,0.469,0.5,1.3,0.359,1.7,3.4,0.509,0.517,0.5,0.9,0.63,0.7,2.5,3.3,1,0.4,0.1,0.8,1.2,5.4,10.2,0.1,0.3,0.4,0.036,@Casspi18,Casspi18
Omri Casspi,\casspom01,http://www.basketball-reference.com/players/c/casspom01.html,SF,28,SAC,22,2,397,18,2.4,5.3,0.453,0.5,1.3,0.379,1.9,4,0.477,0.5,0.5,1,0.571,0.9,3.2,4.1,1.2,0.5,0,0.8,1,5.9,11.4,0.1,0.3,0.4,0.044,@Casspi18,Casspi18
Omri Casspi,\casspom01,http://www.basketball-reference.com/players/c/casspom01.html,SF,28,NOP,1,0,24,24,5,9,0.556,2,4,0.5,3,5,0.6,0.667,0,0,NA,1,1,2,0,0,0,2,3,12,10,0,0,0,0.016,@Casspi18,Casspi18
Omri Casspi,\casspom01,http://www.basketball-reference.com/players/c/casspom01.html,SF,28,MIN,8,0,115,14.4,1.3,2.4,0.526,0.1,0.8,0.167,1.1,1.6,0.692,0.553,0.6,0.8,0.833,0.3,0.9,1.1,0.8,0.4,0.1,0.9,1.5,3.3,6.1,0,0,0,0.013,@Casspi18,Casspi18
Willie Cauley-Stein,\caulewi01,http://www.basketball-reference.com/players/c/caulewi01.html,C,23,SAC,71,17,1317,18.5,3.2,6,0.533,0,0,0,3.2,6,0.535,0.533,1.3,2,0.664,1.1,3.2,4.3,1,0.7,0.6,0.9,2,7.7,15.9,1.3,1.4,2.7,0.098,@THEwillieCS15,THEwillieCS15
Tyson Chandler,\chandty01,http://www.basketball-reference.com/players/c/chandty01.html,C,34,PHO,47,46,1298,27.6,3.3,4.9,0.671,0,0,NA,3.3,4.9,0.671,0.671,1.9,2.6,0.734,3.3,8.2,11.5,0.6,0.7,0.5,1.4,2.7,8.4,16.5,2.7,1.3,4,0.148,@tysonchandler,tysonchandler
Wilson Chandler,\chandwi01,http://www.basketball-reference.com/players/c/chandwi01.html,SF,29,DEN,68,31,2111,31,6.2,13.5,0.459,1.5,4.6,0.332,4.7,8.9,0.524,0.515,2,2.8,0.732,1.5,4.9,6.4,2,0.7,0.4,1.7,2.4,15.9,15,2.3,0.9,3.2,0.073,@wilsonchandler,wilsonchandler
Marquese Chriss,\chrisma01,http://www.basketball-reference.com/players/c/chrisma01.html,PF,19,PHO,79,72,1673,21.2,3.4,7.7,0.448,0.9,2.7,0.318,2.6,4.9,0.521,0.505,1.3,2.1,0.621,1.2,3.1,4.2,0.7,0.8,0.8,1.3,3.3,9.1,12.1,0.2,1.4,1.7,0.048,@Quese_22,Quese_22
Rakeem Christmas,\chrisra01,http://www.basketball-reference.com/players/c/chrisra01.html,PF,25,IND,26,0,217,8.3,0.7,1.7,0.442,0,0,NA,0.7,1.7,0.442,0.442,0.8,1,0.741,1,1.2,2.2,0.2,0.1,0.2,0.3,1.4,2.2,10.4,0.3,0.2,0.4,0.097,@R_Xmas25,R_Xmas25
Semaj Christon,\chrisse01,http://www.basketball-reference.com/players/c/chrisse01.html,PG,24,OKC,60,0,884,14.7,1.2,3.5,0.348,0.2,1,0.175,1,2.5,0.413,0.372,0.3,0.5,0.548,0.3,1.1,1.4,2,0.5,0.1,0.7,1.2,2.9,5.9,-0.7,0.8,0.1,0.004,@SemajChriston,SemajChriston
Ian Clark,\clarkia01,http://www.basketball-reference.com/players/c/clarkia01.html,SG,25,GSW,74,0,1066,14.4,2.7,5.5,0.493,0.8,2.1,0.392,1.9,3.4,0.553,0.567,0.6,0.8,0.754,0.3,1.3,1.5,1.1,0.5,0.1,0.7,1,6.8,13.5,1,1.2,2.3,0.102,@IanClark,IanClark
Jordan Clarkson,\clarkjo01,http://www.basketball-reference.com/players/c/clarkjo01.html,SG,24,LAL,78,15,2278,29.2,5.8,13.1,0.443,1.4,4.3,0.328,4.4,8.8,0.499,0.497,1.7,2.1,0.807,0.6,2.4,3,2.6,1.1,0.1,2,1.9,14.7,13,0.3,0.6,0.9,0.019,@JClark5on,JClark5on
