Player,PlayerID,URLs,Pos,Age,Tm,G,GS,MP,MP/G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,PER,OWS,DWS,WS,WS/48,atTwitter,twitter
Hassan Whiteside,\whiteha01,http://www.basketball-reference.com/players/w/whiteha01.html,C,27,MIA,73,73,2382,32.6,7,12.5,0.559,0,0,NA,7,12.5,0.559,0.559,2.8,4.5,0.628,3.8,10.3,14.1,0.7,0.7,2.1,2,2.9,16.7,22.4,3.9,5,8.8,0.178,@youngwhiteside,youngwhiteside
Andrew Wiggins,\wiggian01,http://www.basketball-reference.com/players/w/wiggian01.html,SF,21,MIN,77,77,2866,37.2,8.6,18.9,0.453,1.3,3.5,0.363,7.3,15.5,0.473,0.486,4.9,6.5,0.755,1.3,2.8,4,2.3,1,0.4,2.3,2.2,23.3,16.4,3.1,1,4,0.067,@22wiggins,22wiggins
C.J. Wilcox,\wilcocj01,http://www.basketball-reference.com/players/w/wilcocj01.html,SG,26,ORL,22,0,108,4.9,0.4,1.4,0.258,0.1,0.7,0.2,0.2,0.7,0.313,0.306,0.1,0.1,1,0.2,0.4,0.5,0.5,0.1,0,0.3,0.4,1,2.9,-0.2,0,-0.2,-0.088,@UCjwilcox23W,UCjwilcox23W
Alan Williams,\willial03,http://www.basketball-reference.com/players/w/willial03.html,PF,24,PHO,44,0,640,14.5,2.8,5.6,0.506,0,0,0,2.8,5.5,0.508,0.506,1.4,2.3,0.606,2,4.2,6.2,0.4,0.6,0.7,0.8,2.6,7,19.2,0.8,0.9,1.7,0.13,@alantwilliams,alantwilliams
Deron Williams,\willide01,http://www.basketball-reference.com/players/w/willide01.html,PG,32,TOT,60,42,1562,26,4.1,9.3,0.434,1.3,3.6,0.35,2.8,5.7,0.487,0.502,1.5,1.7,0.837,0.2,2,2.2,5.8,0.5,0.1,2,2.1,10.8,14.2,1.6,0.9,2.5,0.076,@DeronWilliams,DeronWilliams
Deron Williams,\willide01,http://www.basketball-reference.com/players/w/willide01.html,PG,32,DAL,40,40,1171,29.3,4.9,11.4,0.43,1.6,4.5,0.348,3.3,6.8,0.484,0.499,1.7,2.1,0.821,0.3,2.2,2.6,6.9,0.6,0.1,2.5,2.4,13.1,15,1.1,0.7,1.8,0.074,@DeronWilliams,DeronWilliams
Deron Williams,\willide01,http://www.basketball-reference.com/players/w/willide01.html,PG,32,CLE,20,2,391,19.6,2.4,5.3,0.453,0.7,1.8,0.361,1.8,3.5,0.5,0.514,0.9,1,0.9,0.1,1.6,1.6,3.6,0.2,0.3,1.2,1.6,6.4,11.5,0.5,0.1,0.7,0.082,@DeronWilliams,DeronWilliams
Derrick Williams,\willide02,http://www.basketball-reference.com/players/w/willide02.html,PF,25,TOT,47,11,765,16.3,2.2,5,0.443,0.6,2,0.298,1.6,3,0.539,0.502,1.2,1.9,0.644,0.4,2.3,2.7,0.5,0.3,0.1,0.6,1.3,6.2,10.6,0.3,0.6,1,0.061,@DWXXIII,DWXXIII
Derrick Williams,\willide02,http://www.basketball-reference.com/players/w/willide02.html,PF,25,MIA,25,11,377,15.1,2.2,5.5,0.394,0.4,1.8,0.2,1.8,3.7,0.489,0.427,1.2,2,0.62,0.6,2.3,2.9,0.6,0.4,0.2,0.6,1.3,5.9,10.1,-0.1,0.4,0.3,0.038,@DWXXIII,DWXXIII
Derrick Williams,\willide02,http://www.basketball-reference.com/players/w/willide02.html,PF,25,CLE,22,0,388,17.6,2.3,4.5,0.51,0.9,2.2,0.388,1.4,2.2,0.633,0.607,1.1,1.7,0.676,0.1,2.2,2.4,0.5,0.2,0.1,0.6,1.2,6.5,11,0.5,0.2,0.7,0.083,@DWXXIII,DWXXIII
Lou Williams,\willilo02,http://www.basketball-reference.com/players/w/willilo02.html,SG,30,TOT,78,1,1916,24.6,5.3,12.4,0.433,2.1,5.5,0.376,3.3,6.9,0.478,0.516,4.9,5.6,0.875,0.3,2.1,2.5,3,1,0.2,2,1.2,17.7,21.8,5.1,1,6.1,0.152,@TeamLou23,TeamLou23
Lou Williams,\willilo02,http://www.basketball-reference.com/players/w/willilo02.html,SG,30,LAL,58,1,1403,24.2,5.6,12.7,0.444,2.1,5.4,0.386,3.5,7.2,0.488,0.527,5.2,5.9,0.884,0.2,2.1,2.3,3.2,1.1,0.2,2.1,1.2,18.6,23.9,4.3,0.6,4.9,0.168,@TeamLou23,TeamLou23
Lou Williams,\willilo02,http://www.basketball-reference.com/players/w/willilo02.html,SG,30,HOU,20,0,513,25.7,4.6,11.5,0.396,1.9,5.5,0.345,2.7,6,0.442,0.478,4.1,4.8,0.844,0.6,2.4,3,2.5,0.7,0.4,1.7,1.2,15.1,16,0.8,0.4,1.2,0.109,@TeamLou23,TeamLou23
Marvin Williams,\willima02,http://www.basketball-reference.com/players/w/willima02.html,PF,30,CHO,73,73,2227,30.5,4,9.4,0.426,1.7,4.7,0.352,2.3,4.7,0.501,0.515,1.7,2,0.87,1.2,5.4,6.6,1.4,0.8,0.7,0.7,1.8,11.4,13.9,2.6,2.5,5.2,0.111,NA,NA
Reggie Williams,\willire02,http://www.basketball-reference.com/players/w/willire02.html,SF,30,NOP,6,0,79,13.2,1.3,3.8,0.348,0.8,1.8,0.455,0.5,2,0.25,0.457,1,1.2,0.857,0.3,0.7,1,0.7,0.5,0,0,0.3,4.5,11.7,0.1,0.1,0.2,0.099,@reggiew55,reggiew55
Troy Williams,\willitr02,http://www.basketball-reference.com/players/w/willitr02.html,SF,22,TOT,26,15,472,18.2,2.3,5.4,0.429,0.6,2,0.308,1.7,3.4,0.5,0.486,0.6,1,0.593,0.3,1.7,2,0.8,1,0.3,1.1,2,5.8,8.4,-0.5,0.7,0.2,0.02,@troywilliams_,troywilliams_
Troy Williams,\willitr02,http://www.basketball-reference.com/players/w/willitr02.html,SF,22,MEM,24,13,418,17.4,2.1,5.1,0.418,0.4,1.7,0.244,1.7,3.4,0.506,0.459,0.6,1,0.6,0.3,1.6,1.9,0.8,1,0.4,1.1,1.8,5.3,7.7,-0.6,0.6,0,0.003,@troywilliams_,troywilliams_
Troy Williams,\willitr02,http://www.basketball-reference.com/players/w/willitr02.html,SF,22,HOU,2,2,54,27,4.5,9,0.5,3,5.5,0.545,1.5,3.5,0.429,0.667,0.5,1,0.5,1,3,4,1.5,1,0,1,4.5,12.5,14,0.1,0,0.2,0.147,@troywilliams_,troywilliams_
Kyle Wiltjer,\wiltjky01,http://www.basketball-reference.com/players/w/wiltjky01.html,PF,24,HOU,13,0,43,3.3,0.3,1.1,0.286,0.3,1,0.308,0,0.1,0,0.429,0.1,0.2,0.5,0.3,0.5,0.8,0.2,0.2,0.1,0.4,0.3,1,6.9,-0.1,0.1,0,-0.036,@kwiltj,kwiltj
Justise Winslow,\winslju01,http://www.basketball-reference.com/players/w/winslju01.html,SF,20,MIA,18,15,625,34.7,4.4,12.5,0.356,0.4,1.9,0.2,4.1,10.6,0.384,0.371,1.6,2.6,0.617,1.3,3.9,5.2,3.7,1.5,0.3,1.8,2.9,10.9,8.3,-0.9,0.8,-0.1,-0.009,@IAmJustise,IAmJustise
Jeff Withey,\witheje01,http://www.basketball-reference.com/players/w/witheje01.html,C,26,UTA,48,1,419,8.7,1.1,2.1,0.535,0,0,0,1.1,2.1,0.54,0.535,0.7,0.9,0.773,1,1.4,2.5,0.1,0.3,0.6,0.3,1,3,18.8,0.9,0.9,1.8,0.207,@JeffWithey,JeffWithey
Christian Wood,\woodch01,http://www.basketball-reference.com/players/w/woodch01.html,PF,21,CHO,12,0,94,7.8,0.8,1.7,0.5,0,0.4,0,0.8,1.3,0.667,0.5,0.9,1.1,0.846,1.1,1.1,2.2,0.2,0.3,0.5,0.5,0.8,2.6,16.3,0.2,0.1,0.3,0.151,@Chriswood_5,Chriswood_5
Metta World Peace,\artesro01,http://www.basketball-reference.com/players/a/artesro01.html,SF,37,LAL,21,1,105,5,0.4,1.6,0.235,0.1,0.9,0.167,0.2,0.8,0.313,0.279,0.3,0.6,0.583,0.1,0.4,0.6,0.3,0.1,0.1,0.3,0.7,1.2,1.1,-0.3,0,-0.3,-0.126,@MettaWorldPeace,MettaWorldPeace
Brandan Wright,\wrighbr03,http://www.basketball-reference.com/players/w/wrighbr03.html,PF,29,MEM,25,5,408,16.3,3.2,5.1,0.622,0,0,0,3.2,5,0.627,0.622,0.8,1.2,0.645,1,1.7,2.8,0.5,0.4,0.6,0.4,1.5,7.1,18.6,1,0.5,1.5,0.175,@bwright34,bwright34
Delon Wright,\wrighde01,http://www.basketball-reference.com/players/w/wrighde01.html,PG,24,TOR,24,0,410,17.1,1.9,4.3,0.442,0.4,1.1,0.346,1.5,3.3,0.474,0.486,1.6,2,0.776,0.6,1.3,1.9,2.3,1,0.5,1,1.3,5.8,15.8,0.6,0.5,1.1,0.132,@delonwright,delonwright
James Young,\youngja01,http://www.basketball-reference.com/players/y/youngja01.html,SG,21,BOS,28,0,217,7.8,0.9,2,0.439,0.4,1.2,0.353,0.5,0.8,0.565,0.544,0.2,0.3,0.714,0.2,0.7,0.9,0.1,0.4,0.1,0.1,0.5,2.4,10.3,0.1,0.2,0.4,0.081,@realjamesyoung,realjamesyoung
Joe Young,\youngjo01,http://www.basketball-reference.com/players/y/youngjo01.html,PG,24,IND,31,0,132,4.3,0.8,2.3,0.357,0.2,0.7,0.217,0.6,1.5,0.426,0.393,0.4,0.5,0.733,0,0.5,0.5,0.5,0.1,0,0.2,0.2,2.1,11.3,-0.2,0.1,-0.1,-0.026,@JoeyBuckets3,JoeyBuckets3
Nick Young,\youngni01,http://www.basketball-reference.com/players/y/youngni01.html,SG,31,LAL,60,60,1556,25.9,4.5,10.6,0.43,2.8,7,0.404,1.7,3.5,0.481,0.564,1.3,1.5,0.856,0.4,1.9,2.3,1,0.6,0.2,0.6,2.3,13.2,14.1,3,0.1,3.1,0.096,@NickSwagyPYoung,NickSwagyPYoung
Thaddeus Young,\youngth01,http://www.basketball-reference.com/players/y/youngth01.html,PF,28,IND,70,70,2101,30,4.8,9.2,0.521,0.6,1.7,0.385,4.1,7.5,0.551,0.556,0.6,1.2,0.524,1.7,4.3,6,1.6,1.6,0.4,1.3,1.9,10.8,14.6,1.6,2.5,4.1,0.094,@yungsmoove21,yungsmoove21
Cody Zeller,\zelleco01,http://www.basketball-reference.com/players/z/zelleco01.html,PF,24,CHO,59,55,1646,27.9,4.2,7.2,0.574,0,0,0,4.2,7.2,0.575,0.574,2.1,3.2,0.663,2.2,4.3,6.5,1.6,1,1,1.1,3.1,10.4,16.6,3.2,2.2,5.3,0.156,@CodyZeller,CodyZeller
Tyler Zeller,\zellety01,http://www.basketball-reference.com/players/z/zellety01.html,C,27,BOS,48,5,497,10.4,1.5,3.1,0.49,0,0,0,1.5,3.1,0.493,0.49,0.4,0.7,0.543,0.9,1.6,2.5,0.8,0.1,0.5,0.4,1.3,3.5,12.9,0.4,0.5,0.9,0.091,@ZellerTyler,ZellerTyler
Stephen Zimmerman,\zimmest01,http://www.basketball-reference.com/players/z/zimmest01.html,C,20,ORL,17,0,90,5.3,0.5,1.5,0.36,0,0,NA,0.5,1.5,0.36,0.36,0.2,0.3,0.6,0.5,1.2,1.8,0.2,0.1,0.2,0.1,0.7,1.2,9.7,0,0.1,0.1,0.044,@BIGG_ZIMM,BIGG_ZIMM
Paul Zipser,\zipsepa01,http://www.basketball-reference.com/players/z/zipsepa01.html,SF,22,CHI,40,17,752,18.8,1.9,4.8,0.387,0.7,2.1,0.306,1.2,2.7,0.453,0.455,0.8,1,0.775,0.4,2.3,2.7,0.8,0.3,0.4,1,1.7,5.1,6.3,-0.4,0.7,0.2,0.013,NA,NA
Ivica Zubac,\zubaciv01,http://www.basketball-reference.com/players/z/zubaciv01.html,C,19,LAL,38,11,609,16,3.3,6.3,0.529,0,0.1,0,3.3,6.2,0.536,0.529,0.8,1.3,0.653,1.1,3.1,4.2,0.8,0.4,0.9,0.8,1.7,7.5,17,0.6,0.5,1.1,0.084,@ivicazubac,ivicazubac
